"anio","mes","concepto","oferta_total","inventario_inicial","produccion","importaciones_totales","demanda_total","exportaciones_totales","consumo_nacional_aparente","inventario_final","importaciones_fuera_arancel","importaciones_amparo_arancel","ingenios","estados_unidos","resto_mundo","ventas_immex","otras_empresas","estados_unidos_otras_empresas","resto_mundo_otras_empresas","ventas_domesticas_ingenios"
"2011","10","azucar","778599","759906","0","18693","347299","75702","271597","431301","2278","16416","59796","47391","0","12405","15905","15897","8","252903"
"2011","11","azucar","588662","431301","116495","40867","351401","53789","297612","237260","1947","38920","42562","36997","0","5565","11228","11197","31","256746"
"2011","12","azucar","911648","237260","635149","39238","410474","50087","360387","501174","5078","34160","38464","34242","0","4222","11623","11615","8","321149"
"2012","1","azucar","1565519","501174","940295","124049","524688","62285","462403","1040831","2169","121880","49996","43996","0","6000","12289","12287","2","338354"
"2012","2","azucar","1909042","1040831","866462","1749","427001","103484","323517","1482042","1749","0","89122","77238","0","11884","14362","14349","12","321768"
"2012","3","azucar","2594066","1482042","1109993","2032","467370","102172","365198","2126697","2032","0","84150","77629","0","6520","18022","18004","18","363166"
"2012","4","azucar","2952512","2126697","824176","1639","482335","116765","365571","2470176","1639","0","102291","93716","0","8575","14474","14452","21","363932"
"2012","5","azucar","2935583","2470176","464250","1157","418453","80109","338344","2517130","1157","0","59825","49402","0","10423","20284","20258","26","337187"
"2012","6","azucar","2610284","2517130","91649","1506","414042","56968","357074","2196243","1506","0","40618","33608","0","7010","16350","16319","31","355568"
"2012","7","azucar","2197866","2196243","0","1623","432887","90191","342697","1764978","1623","0","76264","64865","0","11399","13927","13920","7","341074"
"2012","8","azucar","1767002","1764978","0","2024","438088","87596","350491","1328914","2024","0","72850","65693","0","7156","14746","14736","11","348468"
"2012","9","azucar","1330799","1328914","0","1884","365206","61999","303207","965593","1884","0","50608","37544","0","13064","11391","11348","43","301322"
"2012","10","azucar","981514","965593","14144","1777","430408","110823","319585","551106","1777","0","105512","93697","20","11794","5311","5278","33","317808"
"2012","11","azucar","876885","551106","324108","1671","339200","58384","280817","537684","1671","0","55559","43592","0","11967","2825","2775","50","279146"
"2012","12","azucar","1419589","537684","881035","870","399748","81205","318543","1019841","870","0","78984","71942","41","7001","2221","2194","27","317673"
"2013","1","azucar","2094714","1019841","1074470","403","554357","114753","439603","1540357","403","0","110050","98484","81","11484","4703","4676","28","439200"
"2013","2","azucar","2647435","1540357","1106582","496","489335","144962","344373","2158100","496","0","138222","125770","2938","9514","6740","6705","35","343877"
"2013","3","azucar","3373345","2158100","1214916","329","565148","216159","348989","2808198","329","0","214594","168978","31497","14119","1565","1508","58","348660"
"2013","4","azucar","3950914","2808198","1142245","472","687849","213159","474690","3263065","472","0","210015","175527","17325","17163","3144","3114","31","474218"
"2013","5","azucar","4198057","3263065","934422","570","710263","238140","472124","3487793","570","0","237043","194798","22077","20168","1097","1083","14","471553"
"2013","6","azucar","3755734","3487793","267198","743","557149","212758","344391","3198585","743","0","211214","174685","21330","15199","1544","1516","28","343648"
"2013","7","azucar","3214693","3198585","15679","429","533787","296285","237502","2680906","429","0","294792","238257","39413","17123","1492","818","675","237073"
"2013","8","azucar","2681825","2680906","0","919","693163","275877","417287","1988662","919","0","273207","246076","12283","14848","2669","2099","571","416368"
"2013","9","azucar","1989359","1988662","0","698","529016","240052","288963","1460343","698","0","236469","214563","4577","17328","3583","2016","1568","288266"
"2013","10","azucar","1460889","1460343","0","546","576029","268308","307721","884860","546","0","257017","232493","13001","11524","11290","11272","18","307176"
"2013","11","azucar","1017099","884860","131690","549","460534","258926","201607","556566","549","0","256605","199452","42046","15106","2322","2279","43","201058"
"2013","12","azucar","1248711","556566","691393","752","561943","217107","344836","686768","752","0","211302","121781","81597","7925","5805","5437","368","344084"
"2014","1","azucar","1622687","686768","934541","1378","605327","125474","479854","1017360","1378","0","121248","69131","44964","7153","4225","4186","39","478475"
"2014","2","azucar","2062835","1017360","1045014","461","560567","247864","312702","1502268","461","0","236336","152064","68098","16175","11528","11480","48","312241"
"2014","3","azucar","2697289","1502268","1194477","544","674890","294448","380443","2022398","544","0","292969","167108","110430","15431","1479","1457","22","379899"
"2014","4","azucar","3102913","2022398","1080052","463","743840","315275","428565","2359073","463","0","313439","196313","103516","13610","1836","1824","13","428101"
"2014","5","azucar","3096768","2359073","737115","580","710001","323122","386879","2386767","580","0","319879","240766","63378","15735","3243","3079","164","386299"
"2014","6","azucar","2584921","2386767","196811","1343","484749","179044","305705","2100172","1343","0","173027","110505","48729","13793","6017","5967","50","304362"
"2014","7","azucar","2110885","2100172","10200","513","501042","172150","328892","1609843","513","0","166010","81306","65602","19103","6141","6063","78","328378"
"2014","8","azucar","1610457","1609843","0","614","415801","117184","298617","1194655","614","0","112442","71956","24217","16269","4741","4632","109","298003"
"2014","9","azucar","1195612","1194655","0","957","364468","42217","322251","831144","957","0","35772","20261","4802","10709","6445","42","4802","321294"
"2014","10","azucar","835214","831144","3128","942","373608","43347","330261","461606","942","0","35243","17596","26","17621","8104","37","26","329319"
"2014","11","azucar","690351","461606","227800","945","283991","19815","264176","406360","945","0","16417","7822","0","8595","3398","25","0","263231"
"2014","12","azucar","1220366","406360","812879","1126","479689","23357","456332","740677","1126","0","20875","11031","0","9844","2483","25","0","455205"
"2015","1","azucar","1710477","740677","969617","183","464393","82507","381886","1246084","183","0","79230","10761","60000","8469","3277","50","60000","381703"
"2015","2","azucar","2278793","1246084","1032501","208","601824","129812","472012","1676969","208","0","123870","111839","0","12031","5943","3","0","471804"
"2015","3","azucar","2678934","1676969","1001371","595","589362","142122","447240","2089573","595","0","142045","130905","22","11118","77","25","22","446645"
"2015","4","azucar","3088043","2089573","998006","464","616566","168071","448495","2471477","464","0","168001","117484","39160","11358","70","0","39160","448030"
"2015","5","azucar","3189651","2471477","717684","489","599512","198034","401478","2590139","489","0","198032","157768","32082","8182","2","2","32082","400989"
"2015","6","azucar","2796715","2590139","206105","472","560580","133450","427130","2236136","472","0","133443","121308","0","12134","7","7","0","426658"
