anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,AGUASCALIENTES,10 A 14 AÑOS,HOMBRES,53,0,33,322,0,15,3,16,41,1,160,Aguascalientes
2024,AGUASCALIENTES,10 A 14 AÑOS,MUJERES,149,0,45,305,0,8,1,4,0,0,98,Aguascalientes
2024,AGUASCALIENTES,15 A 19 AÑOS,HOMBRES,74,0,52,220,0,6,5,1,13,0,69,Aguascalientes
2024,AGUASCALIENTES,15 A 19 AÑOS,MUJERES,80,0,115,285,3,2,6,1,0,0,78,Aguascalientes
2024,AGUASCALIENTES,20 A 29 AÑOS,HOMBRES,176,0,73,293,0,10,8,25,0,1,0,Aguascalientes
2024,AGUASCALIENTES,20 A 29 AÑOS,MUJERES,333,0,211,563,0,14,3,2,0,0,0,Aguascalientes
2024,AGUASCALIENTES,30 A 49 AÑOS,HOMBRES,270,1,66,360,11,2,4,0,0,6,0,Aguascalientes
2024,AGUASCALIENTES,30 A 49 AÑOS,MUJERES,655,0,373,1058,10,2,11,0,0,7,0,Aguascalientes
2024,AGUASCALIENTES,5 A 9 AÑOS,HOMBRES,39,0,13,236,0,8,2,31,45,0,98,Aguascalientes
2024,AGUASCALIENTES,5 A 9 AÑOS,MUJERES,41,0,2,95,0,5,0,5,5,0,37,Aguascalientes
2024,AGUASCALIENTES,50 A 59 AÑOS,HOMBRES,74,0,65,143,1,0,0,0,0,3,0,Aguascalientes
2024,AGUASCALIENTES,50 A 59 AÑOS,MUJERES,266,2,175,449,1,1,3,0,0,1,0,Aguascalientes
2024,AGUASCALIENTES,60 AÑOS Y MÁS,HOMBRES,97,6,68,189,14,0,0,0,0,4,0,Aguascalientes
2024,AGUASCALIENTES,60 AÑOS Y MÁS,MUJERES,242,28,205,482,1,0,2,0,0,4,0,Aguascalientes
2024,BAJA CALIFORNIA,10 A 14 AÑOS,HOMBRES,139,0,8,476,3,40,10,61,51,7,157,Baja California
2024,BAJA CALIFORNIA,10 A 14 AÑOS,MUJERES,306,0,21,526,2,24,4,24,30,6,109,Baja California
2024,BAJA CALIFORNIA,15 A 19 AÑOS,HOMBRES,86,0,18,239,7,19,2,47,11,17,32,Baja California
2024,BAJA CALIFORNIA,15 A 19 AÑOS,MUJERES,196,0,51,353,8,25,22,10,7,8,26,Baja California
2024,BAJA CALIFORNIA,20 A 29 AÑOS,HOMBRES,311,1,36,572,37,39,6,48,0,94,0,Baja California
2024,BAJA CALIFORNIA,20 A 29 AÑOS,MUJERES,717,0,99,954,34,39,12,18,0,35,0,Baja California
2024,BAJA CALIFORNIA,30 A 49 AÑOS,HOMBRES,445,1,40,888,96,78,8,7,0,213,0,Baja California
2024,BAJA CALIFORNIA,30 A 49 AÑOS,MUJERES,1178,2,116,1616,121,69,19,2,0,109,0,Baja California
2024,BAJA CALIFORNIA,5 A 9 AÑOS,HOMBRES,46,0,4,429,1,23,6,122,54,1,172,Baja California
2024,BAJA CALIFORNIA,5 A 9 AÑOS,MUJERES,45,0,3,226,0,26,1,49,20,0,82,Baja California
2024,BAJA CALIFORNIA,50 A 59 AÑOS,HOMBRES,187,3,15,349,26,36,3,0,0,79,0,Baja California
2024,BAJA CALIFORNIA,50 A 59 AÑOS,MUJERES,470,3,49,688,84,30,5,0,0,47,0,Baja California
2024,BAJA CALIFORNIA,60 AÑOS Y MÁS,HOMBRES,188,42,36,384,25,47,0,0,0,46,0,Baja California
2024,BAJA CALIFORNIA,60 AÑOS Y MÁS,MUJERES,376,82,81,655,35,40,2,0,0,39,0,Baja California
2024,BAJA CALIFORNIA SUR,10 A 14 AÑOS,HOMBRES,22,0,2,93,0,11,0,11,16,1,30,Baja California Sur
2024,BAJA CALIFORNIA SUR,10 A 14 AÑOS,MUJERES,62,0,22,122,0,8,0,5,6,0,19,Baja California Sur
2024,BAJA CALIFORNIA SUR,15 A 19 AÑOS,HOMBRES,17,0,9,56,5,6,1,4,3,7,4,Baja California Sur
2024,BAJA CALIFORNIA SUR,15 A 19 AÑOS,MUJERES,56,0,28,105,0,2,2,1,0,5,11,Baja California Sur
2024,BAJA CALIFORNIA SUR,20 A 29 AÑOS,HOMBRES,79,0,13,119,1,9,3,5,0,9,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,20 A 29 AÑOS,MUJERES,223,0,55,294,4,5,2,2,0,3,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,30 A 49 AÑOS,HOMBRES,164,1,26,240,9,6,4,1,0,29,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,30 A 49 AÑOS,MUJERES,326,1,76,463,32,5,0,1,0,22,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,5 A 9 AÑOS,HOMBRES,11,0,1,144,0,7,0,33,23,0,69,Baja California Sur
2024,BAJA CALIFORNIA SUR,5 A 9 AÑOS,MUJERES,9,0,3,57,1,4,0,10,5,0,25,Baja California Sur
2024,BAJA CALIFORNIA SUR,50 A 59 AÑOS,HOMBRES,56,2,3,78,8,1,0,0,0,8,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,50 A 59 AÑOS,MUJERES,94,1,25,137,3,3,1,0,0,10,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,60 AÑOS Y MÁS,HOMBRES,46,19,11,84,1,3,0,0,0,4,0,Baja California Sur
2024,BAJA CALIFORNIA SUR,60 AÑOS Y MÁS,MUJERES,93,37,31,173,4,2,0,0,0,6,0,Baja California Sur
2024,CAMPECHE,10 A 14 AÑOS,HOMBRES,56,0,34,173,0,11,6,4,13,0,49,Campeche
2024,CAMPECHE,10 A 14 AÑOS,MUJERES,101,0,65,211,0,10,4,1,2,2,26,Campeche
2024,CAMPECHE,15 A 19 AÑOS,HOMBRES,21,0,68,116,0,4,0,4,2,3,14,Campeche
2024,CAMPECHE,15 A 19 AÑOS,MUJERES,50,0,115,200,1,13,6,0,0,2,13,Campeche
2024,CAMPECHE,20 A 29 AÑOS,HOMBRES,112,0,43,176,0,8,5,0,0,8,0,Campeche
2024,CAMPECHE,20 A 29 AÑOS,MUJERES,249,0,126,419,8,22,6,1,0,7,0,Campeche
2024,CAMPECHE,30 A 49 AÑOS,HOMBRES,168,0,47,240,1,9,3,1,0,11,0,Campeche
2024,CAMPECHE,30 A 49 AÑOS,MUJERES,470,0,211,724,5,19,10,0,0,9,0,Campeche
2024,CAMPECHE,5 A 9 AÑOS,HOMBRES,40,0,14,169,0,11,9,28,20,6,41,Campeche
2024,CAMPECHE,5 A 9 AÑOS,MUJERES,37,0,5,92,0,15,4,4,6,2,19,Campeche
2024,CAMPECHE,50 A 59 AÑOS,HOMBRES,54,3,25,89,1,2,0,0,0,4,0,Campeche
2024,CAMPECHE,50 A 59 AÑOS,MUJERES,150,1,68,229,2,1,2,1,0,4,0,Campeche
2024,CAMPECHE,60 AÑOS Y MÁS,HOMBRES,51,11,34,101,0,1,0,0,0,4,0,Campeche
2024,CAMPECHE,60 AÑOS Y MÁS,MUJERES,113,16,74,206,0,2,1,0,0,0,0,Campeche
2024,CHIAPAS,10 A 14 AÑOS,HOMBRES,277,0,164,1050,0,44,21,53,69,6,416,Chiapas
