anio,entidad,edad_quinquenal,sexo,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,fecha
2011,AGUASCALIENTES,1 a 4 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2011-12-31
2011,AGUASCALIENTES,1 a 4 años,Masculino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2011-12-31
2011,AGUASCALIENTES,1 a 4 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,10 a 14 años,Femenino,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-12-31
2011,AGUASCALIENTES,10 a 14 años,Masculino,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2011-12-31
2011,AGUASCALIENTES,10 a 14 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,15 a 19 años,Femenino,30.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,9.0,2011-12-31
2011,AGUASCALIENTES,15 a 19 años,Masculino,52.0,0.0,9.0,1.0,5.0,1.0,1.0,0.0,7.0,22.0,2011-12-31
2011,AGUASCALIENTES,15 a 19 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,20 a 24 años,Femenino,30.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2011-12-31
2011,AGUASCALIENTES,20 a 24 años,Masculino,65.0,1.0,12.0,0.0,6.0,3.0,1.0,0.0,5.0,22.0,2011-12-31
2011,AGUASCALIENTES,20 a 24 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,25 a 29 años,Femenino,25.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2011-12-31
2011,AGUASCALIENTES,25 a 29 años,Masculino,105.0,2.0,5.0,3.0,12.0,1.0,0.0,0.0,5.0,30.0,2011-12-31
2011,AGUASCALIENTES,25 a 29 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,30 a 34 años,Femenino,33.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,2011-12-31
2011,AGUASCALIENTES,30 a 34 años,Masculino,116.0,0.0,4.0,1.0,11.0,0.0,0.0,0.0,3.0,24.0,2011-12-31
2011,AGUASCALIENTES,30 a 34 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,35 a 39 años,Femenino,29.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,2011-12-31
2011,AGUASCALIENTES,35 a 39 años,Masculino,150.0,0.0,4.0,3.0,9.0,0.0,1.0,0.0,1.0,20.0,2011-12-31
2011,AGUASCALIENTES,35 a 39 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,40 a 44 años,Femenino,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,2011-12-31
2011,AGUASCALIENTES,40 a 44 años,Masculino,114.0,3.0,5.0,0.0,5.0,1.0,8.0,0.0,3.0,23.0,2011-12-31
2011,AGUASCALIENTES,40 a 44 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,45 a 49 años,Femenino,10.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,45 a 49 años,Masculino,109.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,2011-12-31
2011,AGUASCALIENTES,45 a 49 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,5 a 9 años,Femenino,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,5 a 9 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,5 a 9 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,50 a 54 años,Femenino,16.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,50 a 54 años,Masculino,70.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2011-12-31
2011,AGUASCALIENTES,50 a 54 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,55 a 59 años,Femenino,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,55 a 59 años,Masculino,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2011-12-31
2011,AGUASCALIENTES,55 a 59 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,60 a 64 años,Femenino,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,60 a 64 años,Masculino,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
